,Var1,Freq,rain,temp,hot_drink,cold_drink,¤ñÂÄ,¯NÄÑ,wind_dir,wind_speed
15,2016/3/30 01:00,0,0,17.7,0,0,0,0,0,0
16,2016/3/30 02:00,0,0,17.1,0,0,0,0,0,0.2
17,2016/3/30 03:00,0,0,16.8,0,0,0,0,45,0.4
18,2016/3/30 04:00,0,0,16.3,0,0,0,0,22,1.4
19,2016/3/30 05:00,0,0,17.2,0,0,0,0,303,0.5
20,2016/3/30 06:00,0,0,17.4,0,0,0,0,18,1.2
21,2016/3/30 07:00,0,0,19,0,0,0,0,0,0
22,2016/3/30 08:00,0,0,20,0,0,0,0,0,0
23,2016/3/30 09:00,0,0,21,0,0,0,0,0,0
24,2016/3/30 10:00,0,0,21.4,0,0,0,0,317,1.3
25,2016/3/30 11:00,5,0,21.9,0,1,4,0,0,0.1
26,2016/3/30 12:00,3,0,21.7,0,0,1,1,307,1.9
27,2016/3/30 13:00,22,0,21.5,2,7,5,1,270,2.3
28,2016/3/30 14:00,7,0,21.5,1,1,2,0,121,2.8
29,2016/3/30 15:00,4,0,21.8,2,1,0,1,117,3.5
30,2016/3/30 16:00,2,0,21.8,0,0,0,1,117,1.5
31,2016/3/30 17:00,1,0,20.4,0,0,1,0,247,1.4
32,2016/3/30 18:00,17,0,19.3,1,5,3,1,0,0
33,2016/3/30 19:00,37,0,18.6,1,10,12,5,117,1.7
34,2016/3/30 20:00,31,0,18.9,3,10,10,1,58,0.7
35,2016/3/30 21:00,34,0,19.2,6,6,10,1,0,0
36,2016/3/30 22:00,0,0,18.8,0,0,0,0,11,0.9
37,2016/3/30 23:00,0,0,19.1,0,0,0,0,0,0
38,2016/3/31 00:00,0,0,19.1,0,0,0,0,309,0.6
39,2016/3/31 01:00,0,0,19.5,0,0,0,0,162,0.3
40,2016/3/31 02:00,0,0,19.3,0,0,0,0,10,0.4
41,2016/3/31 03:00,0,0,19.3,0,0,0,0,306,1.2
42,2016/3/31 04:00,0,0,18.5,0,0,0,0,253,0.6
43,2016/3/31 05:00,0,0,18,0,0,0,0,0,0.1
44,2016/3/31 06:00,0,0,18.7,0,0,0,0,0,0
45,2016/3/31 07:00,0,0,19.1,0,0,0,0,271,1.4
46,2016/3/31 08:00,0,0,20.4,0,0,0,0,246,1.1
47,2016/3/31 09:00,0,0,21.3,0,0,0,0,258,2.8
48,2016/3/31 10:00,0,0,20.3,0,0,0,0,299,2.6
49,2016/3/31 11:00,0,0,19.6,0,0,0,0,305,1.1
50,2016/3/31 12:00,8,0,20.6,0,3,2,1,310,2.5
51,2016/3/31 13:00,36,0,20.9,4,9,14,3,304,1.6
52,2016/3/31 14:00,55,0,20.5,4,18,13,8,282,1.3
53,2016/3/31 15:00,1,0,20,0,0,0,1,0,0.2
54,2016/3/31 16:00,0,0,19.6,0,0,0,0,43,0.4
55,2016/3/31 17:00,0,0,19.9,0,0,0,0,3,0.5
56,2016/3/31 18:00,10,0,20,2,2,2,2,102,0.9
57,2016/3/31 19:00,46,0,20.1,6,11,14,5,0,0
58,2016/3/31 20:00,33,0,20,3,10,9,0,12,0.3
59,2016/3/31 21:00,7,0,19.9,2,0,3,0,87,1.3
60,2016/3/31 22:00,0,0,18.6,0,0,0,0,115,1.9
61,2016/3/31 23:00,0,0,18.1,0,0,0,0,108,3.6
62,2016/4/1 00:00,0,0,18.2,0,0,0,0,99,3.4
63,2016/4/1 01:00,0,0,18.8,0,0,0,0,102,3.9
64,2016/4/1 02:00,0,0,18.7,0,0,0,0,101,3.6
65,2016/4/1 03:00,0,0,19,0,0,0,0,106,3.8
66,2016/4/1 04:00,0,0,19.1,0,0,0,0,100,3.6
67,2016/4/1 05:00,0,0,19.4,0,0,0,0,82,1.9
68,2016/4/1 06:00,0,0,19.4,0,0,0,0,106,3.6
69,2016/4/1 07:00,0,0,19.8,0,0,0,0,98,2.8
70,2016/4/1 08:00,0,0,20.6,0,0,0,0,88,2.8
71,2016/4/1 09:00,0,0,21.2,0,0,0,0,83,2.8
72,2016/4/1 10:00,0,0,22,0,0,0,0,74,2.6
73,2016/4/1 11:00,2,0,22,0,0,2,0,96,3.8
74,2016/4/1 12:00,16,0,22.4,2,4,2,2,104,4.2
75,2016/4/1 13:00,27,0,22.2,3,10,9,1,116,4
76,2016/4/1 14:00,27,0,22.3,6,6,8,3,102,2.9
77,2016/4/1 15:00,22,0,22.2,4,4,6,5,108,3.8
78,2016/4/1 16:00,7,0,22,0,2,3,0,110,3.2
79,2016/4/1 17:00,7,0,22,0,3,2,0,105,2
80,2016/4/1 18:00,18,0,21.9,3,5,5,1,92,2
81,2016/4/1 19:00,31,0,22,1,12,8,3,92,1.2
82,2016/4/1 20:00,43,0,21.6,5,11,14,4,104,1.5
83,2016/4/1 21:00,17,0,21.3,1,6,4,3,108,1.8
84,2016/4/1 22:00,0,0,21,0,0,0,0,130,0.8
85,2016/4/1 23:00,0,0,20.9,0,0,0,0,0,0
86,2016/4/2 00:00,0,0,20.3,0,0,0,0,0,0
87,2016/4/2 01:00,0,0,19.9,0,0,0,0,0,0
88,2016/4/2 02:00,0,0,20.1,0,0,0,0,304,0.4
89,2016/4/2 03:00,0,0,20.5,0,0,0,0,271,1.4
90,2016/4/2 04:00,0,0,20.7,0,0,0,0,0,0
91,2016/4/2 05:00,0,0,20.1,0,0,0,0,0,0
92,2016/4/2 06:00,0,0,20.4,0,0,0,0,0,0
93,2016/4/2 07:00,0,0,21.9,0,0,0,0,259,0.5
94,2016/4/2 08:00,0,0,23,0,0,0,0,253,1.5
95,2016/4/2 09:00,0,0,26.1,0,0,0,0,69,0.4
96,2016/4/2 10:00,0,0,27.5,0,0,0,0,158,0.6
97,2016/4/2 11:00,9,0,28.8,2,0,5,0,234,0.7
98,2016/4/2 12:00,29,0,29,0,10,5,5,254,2.6
99,2016/4/2 13:00,60,X?,27.3,2,22,16,8,311,3.6
100,2016/4/2 14:00,41,0,26.3,3,11,9,4,313,2.8
101,2016/4/2 15:00,4,0,26.3,0,2,2,0,300,1.9
102,2016/4/2 16:00,17,0,25.4,0,6,5,2,316,1.8
103,2016/4/2 17:00,14,0,25,0,3,7,1,344,1.3
104,2016/4/2 18:00,40,0,24.9,3,12,10,5,26,1.1
105,2016/4/2 19:00,24,0,25,2,5,6,2,0,0
106,2016/4/2 20:00,35,0,24.8,1,14,9,1,0,0
107,2016/4/2 21:00,18,0,23.9,1,5,4,2,12,0.7
108,2016/4/2 22:00,0,0,23.5,0,0,0,0,15,1.1
109,2016/4/2 23:00,0,0,22.9,0,0,0,0,0,0
110,2016/4/3 00:00,0,0,22.5,0,0,0,0,0,0
111,2016/4/3 01:00,0,0,22.5,0,0,0,0,25,0.9
112,2016/4/3 02:00,0,0,21.9,0,0,0,0,0,0
113,2016/4/3 03:00,0,0,22,0,0,0,0,0,0
114,2016/4/3 04:00,0,0,21.9,0,0,0,0,0,0.2
115,2016/4/3 05:00,0,0,21.9,0,0,0,0,287,0.9
116,2016/4/3 06:00,0,0,22.1,0,0,0,0,303,1.2
117,2016/4/3 07:00,0,0,23.4,0,0,0,0,265,1.2
118,2016/4/3 08:00,0,0,25.3,0,0,0,0,0,0
119,2016/4/3 09:00,0,0,26.4,0,0,0,0,283,1.7
120,2016/4/3 10:00,0,0,27.3,0,0,0,0,266,2.4
121,2016/4/3 11:00,12,0,28.3,0,5,4,0,309,1.7
122,2016/4/3 12:00,24,0,29.2,0,8,6,2,294,1.3
123,2016/4/3 13:00,23,0,28.2,1,6,7,1,348,2.5
124,2016/4/3 14:00,24,0,26,0,9,7,5,293,4.4
125,2016/4/3 15:00,32,0,25.9,1,10,7,5,297,2.2
126,2016/4/3 16:00,19,0,26.1,1,6,5,3,321,0.7
127,2016/4/3 17:00,14,0,26.2,2,4,4,1,0,0
128,2016/4/3 18:00,70,0,25.3,0,26,17,9,19,0.6
129,2016/4/3 19:00,23,0,24.9,0,8,8,1,0,0
130,2016/4/3 20:00,51,0,24.4,2,18,11,8,19,2
131,2016/4/3 21:00,9,0,24.6,1,2,3,0,316,1.1
132,2016/4/3 22:00,0,0,24.6,0,0,0,0,340,0.3
133,2016/4/3 23:00,0,0,24.4,0,0,0,0,0,0
